date,equity
2024-09-25 09:30:00-04:00,114557.70789586019
2024-09-26 09:30:00-04:00,114054.29608500845
2024-09-27 09:30:00-04:00,113571.89348953223
2024-09-30 09:30:00-04:00,114149.80833401703
2024-10-01 09:30:00-04:00,113187.34668004268
2024-10-02 09:30:00-04:00,113743.9876845274
2024-10-03 09:30:00-04:00,114588.48472792382
2024-10-04 09:30:00-04:00,115357.1506646283
2024-10-07 09:30:00-04:00,115004.46917871371
2024-10-08 09:30:00-04:00,115660.78772363416
2024-10-09 09:30:00-04:00,115949.82604094743
2024-10-10 09:30:00-04:00,116071.97469326353
2024-10-11 09:30:00-04:00,116652.63340407364
2024-10-14 09:30:00-04:00,116427.55629810451
2024-10-15 09:30:00-04:00,115314.26812762702
2024-10-16 09:30:00-04:00,115073.94669474708
2024-10-17 09:30:00-04:00,114437.74877534428
2024-10-18 09:30:00-04:00,114958.18680696857
2024-10-21 09:30:00-04:00,115696.4529265957
2024-10-22 09:30:00-04:00,116168.64255975402
2024-10-23 09:30:00-04:00,115228.98225599775
2024-10-24 09:30:00-04:00,115942.57415842259
2024-10-25 09:30:00-04:00,116255.59040467376
2024-10-28 09:30:00-04:00,116048.36482414401
2024-10-29 09:30:00-04:00,116671.8412971273
2024-10-30 09:30:00-04:00,115718.54172442414
2024-10-31 09:30:00-04:00,114271.85119702872
2024-11-01 09:30:00-04:00,114346.98628904458
2024-11-04 09:30:00-05:00,114037.46522552788
2024-11-05 09:30:00-05:00,115891.98503489749
2024-11-06 09:30:00-05:00,117124.77681354189
2024-11-07 09:30:00-05:00,118539.12465070785
2024-11-08 09:30:00-05:00,117996.5757691935
2024-11-11 09:30:00-05:00,118788.83479855032
2024-11-12 09:30:00-05:00,119361.85043131417
2024-11-13 09:30:00-05:00,119241.1897147478
2024-11-14 09:30:00-05:00,118972.54209769095
2024-11-15 09:30:00-05:00,118124.18564886237
2024-11-18 09:30:00-05:00,118994.68088057276
2024-11-19 09:30:00-05:00,120763.1096939399
2024-11-20 09:30:00-05:00,120848.24896656485
2024-11-21 09:30:00-05:00,120412.23912719477
2024-11-22 09:30:00-05:00,120283.09307483796
2024-11-25 09:30:00-05:00,119955.84819840448
2024-11-26 09:30:00-05:00,120282.78983394045
2024-11-27 09:30:00-05:00,120105.75681441325
2024-11-29 09:30:00-05:00,120455.60643704166
2024-12-02 09:30:00-05:00,120855.85870370924
2024-12-03 09:30:00-05:00,122048.74857211747
2024-12-04 09:30:00-05:00,122830.69525731339
2024-12-05 09:30:00-05:00,122407.02495129583
2024-12-06 09:30:00-05:00,123545.38460882538
2024-12-09 09:30:00-05:00,122261.27772974683
2024-12-10 09:30:00-05:00,121852.83709645434
2024-12-11 09:30:00-05:00,123218.20322999911
2024-12-12 09:30:00-05:00,122694.85604328636
2024-12-13 09:30:00-05:00,122734.88772466252
2024-12-16 09:30:00-05:00,122424.38849743397
2024-12-17 09:30:00-05:00,121574.80950445755
2024-12-18 09:30:00-05:00,118273.51813868259
2024-12-19 09:30:00-05:00,117285.97786265843
2024-12-20 09:30:00-05:00,119972.902555424
2024-12-23 09:30:00-05:00,120065.91757845508
2024-12-24 09:30:00-05:00,121101.64621029275
2024-12-26 09:30:00-05:00,120868.60531812729
2024-12-27 09:30:00-05:00,120073.40333322244
2024-12-30 09:30:00-05:00,120141.27007250447
2024-12-31 09:30:00-05:00,118794.25699783996
2025-01-02 09:30:00-05:00,118549.93059691403
2025-01-03 09:30:00-05:00,119562.40503003592
2025-01-06 09:30:00-05:00,120294.00215322137
2025-01-07 09:30:00-05:00,118221.35021407186
2025-01-08 09:30:00-05:00,117844.47384278006
2025-01-10 09:30:00-05:00,117092.12039438882
2025-01-13 09:30:00-05:00,117770.93440121901
2025-01-14 09:30:00-05:00,116909.13475649865
2025-01-15 09:30:00-05:00,117782.13418674399
2025-01-16 09:30:00-05:00,116765.05921664242
2025-01-17 09:30:00-05:00,116710.73230234516
2025-01-21 09:30:00-05:00,116816.46339537602
2025-01-22 09:30:00-05:00,117046.85250313603
2025-01-23 09:30:00-05:00,117893.70695393537
2025-01-24 09:30:00-05:00,117187.59889786353
2025-01-27 09:30:00-05:00,117860.21331184018
2025-01-28 09:30:00-05:00,119347.99345200142
2025-01-29 09:30:00-05:00,119467.59280271007
2025-01-30 09:30:00-05:00,119482.5590925781
2025-01-31 09:30:00-05:00,118852.7214391896
2025-02-03 09:30:00-05:00,120392.37857611463
2025-02-04 09:30:00-05:00,122282.60429882465
2025-02-05 09:30:00-05:00,122652.46166745623
2025-02-06 09:30:00-05:00,122789.64127663025
2025-02-07 09:30:00-05:00,121645.56951550067
2025-02-10 09:30:00-05:00,121811.77534605312
2025-02-11 09:30:00-05:00,122032.1180714127
2025-02-12 09:30:00-05:00,123159.20385156668
2025-02-13 09:30:00-05:00,124122.86159189694
2025-02-14 09:30:00-05:00,125118.4076817588
2025-02-18 09:30:00-05:00,124284.51563495044
2025-02-19 09:30:00-05:00,123838.32800737917
2025-02-20 09:30:00-05:00,123304.71536318974
2025-02-21 09:30:00-05:00,121161.99871435415
2025-02-24 09:30:00-05:00,119306.89550779283
2025-02-25 09:30:00-05:00,118293.67078534939
2025-02-26 09:30:00-05:00,118664.17105000254
2025-02-27 09:30:00-05:00,115540.40948444814
2025-02-28 09:30:00-05:00,116868.69489469976
2025-03-03 09:30:00-05:00,114485.37618577725
2025-03-04 09:30:00-05:00,115493.29498945153
2025-03-05 09:30:00-05:00,116782.09995544353
2025-03-06 09:30:00-05:00,115072.39113058735
2025-03-07 09:30:00-05:00,115943.01804418003
2025-03-10 09:30:00-04:00,113878.47362220056
2025-03-11 09:30:00-04:00,114333.02794469187
2025-03-12 09:30:00-04:00,114362.6321958444
2025-03-13 09:30:00-04:00,112598.52725308845
2025-03-14 09:30:00-04:00,113843.4534115684
2025-03-17 09:30:00-04:00,113915.43257111458
2025-03-18 09:30:00-04:00,112931.7066878801
2025-03-19 09:30:00-04:00,113793.32434892919
2025-03-20 09:30:00-04:00,114209.80277708458
2025-03-21 09:30:00-04:00,115726.65664380946
2025-03-24 09:30:00-04:00,116573.74631945405
2025-03-25 09:30:00-04:00,117157.8132985508
2025-03-26 09:30:00-04:00,115493.36345173753
2025-03-27 09:30:00-04:00,115359.16423832075
2025-03-28 09:30:00-04:00,113086.19891756322
2025-03-31 09:30:00-04:00,114324.20859215935
2025-04-01 09:30:00-04:00,115434.07978480365
2025-04-02 09:30:00-04:00,116981.4227941728
2025-04-03 09:30:00-04:00,116000.88824939172
2025-04-04 09:30:00-04:00,114181.96120345072
2025-04-07 09:30:00-04:00,118150.73433966388
2025-04-08 09:30:00-04:00,113328.47518759247
2025-04-09 09:30:00-04:00,122297.54640732124
2025-04-10 09:30:00-04:00,120840.49120665355
2025-04-11 09:30:00-04:00,121986.35869331448
