symbol,entry_date,spot,strike,entry_option_price,budget,contracts,exit_date,exit_option_price,pnl,reason
METU,2026-06-16,23.393299102783203,29,0.5385666804779508,966.3444286988029,17,2026-07-14,0.0,-915.5633568125163,EXPIRY
METU,2026-06-23,20.299999237060547,26,0.5162258190064355,926.846424100273,17,2026-07-01,1.0066403470625491,833.7046976953932,TARGET_95
METU,2026-06-30,20.280000686645508,26,0.4006352623489393,929.0220418764436,23,2026-07-01,0.7812387615804316,875.3880482324322,TARGET_95
METU,2026-07-07,23.8799991607666,29,1.12937780053287,979.3702410626724,8,2026-07-10,2.2022867110390965,858.3271284049811,TARGET_95
METU,2026-07-14,27.36000061035156,33,1.6391078790109264,967.6865070018046,5,2026-08-05,0.0,-819.5539395054632,EXPIRY
METU,2026-07-21,25.809999465942383,31,1.345377075664949,904.852331157872,6,2026-08-05,0.0,-807.2262453989695,EXPIRY
METU,2026-07-28,21.86000061035156,27,1.0543600064799898,867.4219307925861,8,2026-08-05,0.0,-843.4880051839918,EXPIRY
METU,2026-08-04,21.149999618530277,27,0.8383456002565151,918.0725223409576,10,2026-08-05,0.0,-838.3456002565151,EXPIRY
AAPU,2024-08-07,31.61000061035156,37,1.0850788410514767,499.9875062468766,4,2024-08-13,2.1159037400503795,412.3299595995611,TARGET_95
AAPU,2024-08-13,35.165000915527344,41,1.2412581320847789,505.1750240466113,4,2024-09-10,0.0,-496.5032528339116,EXPIRY
AAPU,2024-08-20,36.77999877929688,42,1.499918623805815,519.9607932830415,3,2024-09-17,0.0,-449.9755871417445,EXPIRY
AAPU,2024-08-27,37.209999084472656,43,1.3981180939953113,517.169673603353,3,2024-09-24,0.0,-419.43542819859334,EXPIRY
AAPU,2024-09-03,35.38999938964844,41,1.3065560633373146,495.0840106559486,3,2024-10-01,0.0,-391.9668190011943,EXPIRY
AAPU,2024-09-10,34.505001068115234,40,0.06767776047990814,483.78680401322964,71,2024-09-19,0.13197163293582087,456.48649443698037,TARGET_95
AAPU,2024-09-17,33.31999969482422,39,0.07682277855637865,518.7177405686202,67,2024-09-18,0.14980441818493836,488.9769855113501,TARGET_95
AAPU,2024-09-24,36.31999969482422,42,0.32386521822118297,555.025904475494,17,2024-10-22,0.0,-550.5708709760111,EXPIRY
AAPU,2024-10-01,35.77000045776367,41,0.420565969292757,554.9249750721792,13,2024-10-29,0.0,-546.7357600805841,EXPIRY
AAPU,2024-10-08,35.540000915527344,41,0.46856084409544874,581.5204167657388,12,2024-10-15,0.913693645986125,534.1593622688115,TARGET_95
AAPU,2024-10-15,38.09000015258789,44,0.4355506580667923,623.6051368607652,14,2024-11-12,0.0,-609.7709212935091,EXPIRY
AAPU,2024-10-22,38.665000915527344,44,0.3369628486812779,641.8174196506238,19,2024-11-19,0.0,-640.2294124944281,EXPIRY
AAPU,2024-10-29,37.84999847412109,43,0.2073628887426331,656.8397863515657,31,2024-11-26,0.0,-642.8249551021626,EXPIRY
AAPU,2024-11-05,34.52000045776367,40,0.12505784645527607,634.2548590246772,50,2024-11-07,0.24386280058778834,594.0247706625613,TARGET_95
AAPU,2024-11-12,34.689998626708984,40,0.11956927359171798,723.4251965941675,60,2024-11-14,0.23316008350385006,681.5448594727925,TARGET_95
AAPU,2024-11-19,35.91999816894531,41,0.2040752075569019,715.18679595624,35,2024-11-26,0.3979466547359587,678.5500651266989,TARGET_95
AAPU,2024-11-26,37.959999084472656,43,0.20914749406518762,735.3210569701845,35,2024-12-03,0.40783761342711583,695.4154177667486,TARGET_95
AAPU,2024-12-03,40.40999984741211,46,0.08258965256962947,758.130256226037,91,2024-12-10,0.16104982251077746,713.9875464644467,TARGET_95
AAPU,2024-12-10,42.04999923706055,48,0.03769477628893103,787.0878950374383,208,2024-12-11,0.07350481376341551,744.8487794692772,TARGET_95
AAPU,2024-12-17,39.08000183105469,45,0.31125664373058637,807.3489208370572,25,2025-01-14,0.0,-778.1416093264659,EXPIRY
AAPU,2024-12-24,40.11819839477539,46,0.48151301053472206,775.4474441895608,16,2025-01-21,0.0,-770.4208168555554,EXPIRY
AAPU,2024-12-31,37.709999084472656,43,0.5270885055271677,750.8399769690096,14,2025-01-28,0.0,-737.9239077380348,EXPIRY
AAPU,2025-01-07,35.18000030517578,41,0.43431011712524903,782.0840379686534,18,2025-02-04,0.0,-781.7582108254483,EXPIRY
AAPU,2025-01-14,32.5099983215332,38,0.1609128693645232,710.2788708951737,44,2025-01-15,0.31378009526082024,672.6157939437069,TARGET_95
AAPU,2025-01-21,29.45499992370605,35,0.2737670456409509,776.8439129356473,28,2025-01-27,0.5338457389998542,728.2203414049293,TARGET_95
AAPU,2025-01-28,33.58000183105469,39,0.6644082691733235,748.7162834103196,11,2025-02-25,0.0,-730.8490960906558,EXPIRY
AAPU,2025-02-04,31.920000076293945,37,0.7362455887490285,789.4022626355066,10,2025-03-04,0.0,-736.2455887490285,EXPIRY
AAPU,2025-02-11,31.86000061035156,37,0.7596500227792671,814.728460680042,10,2025-02-13,1.4813175444195708,721.6675216403037,TARGET_95
AAPU,2025-02-18,35.04999923706055,41,0.614577110439269,817.1375867642527,13,2025-03-18,0.0,-798.9502435710497,EXPIRY
