symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
TSLT,2024-07-01 09:30:00,2024-09-23 09:30:00,1.7304863304946991,1.7500001525878908,2,15.59,2024-09-23 09:30:00,0.8264237720122488,0.8264237720122488,3.902764418638327,EXPIRY,risk_current_mature_tp800,TSLA,346.0972660989398
AAPU,2024-07-08 09:30:00,2024-09-30 09:30:00,2.853687184490852,0.0,1,33.13,2024-09-30 09:30:00,0.6823582090034611,0.6823582090034611,-285.3687184490852,EXPIRY,risk_current_mature_tp800,AAPL,285.3687184490852
TSLT,2024-07-08 09:30:00,2024-09-30 09:30:00,3.480716944991288,0.0,1,22.26,2024-09-30 09:30:00,1.0864870087770047,1.0864870087770047,-348.0716944991288,EXPIRY,risk_current_mature_tp800,TSLA,348.0716944991288
TSLT,2024-07-15 09:30:00,2024-10-07 09:30:00,4.072046876963134,0.0,1,21.96,2024-10-07 09:30:00,1.2558833808496108,1.2558833808496108,-407.20468769631344,EXPIRY,risk_current_mature_tp800,TSLA,407.20468769631344
GGLL,2024-07-22 09:30:00,2024-10-14 09:30:00,2.431377783868511,0.0,2,47.01,2024-10-14 09:30:00,0.481539340880089,0.481539340880089,-486.2755567737022,EXPIRY,risk_current_mature_tp800,GOOGL,486.2755567737022
METU,2024-07-22 09:30:00,2024-10-14 09:30:00,2.921906393064587,7.543892974853524,1,26.38,2024-10-14 09:30:00,0.8250339232360746,0.8250339232360746,462.19865817889365,EXPIRY,risk_current_mature_tp800,META,292.1906393064587
AMZU,2024-09-16 09:30:00,2024-12-09 09:30:00,2.3455838686202135,9.708805541992184,2,32.27,2024-12-09 09:30:00,0.6045999043114297,0.6045999043114297,1472.6443346743943,EXPIRY,risk_current_mature_tp800,AMZN,469.1167737240427
METU,2024-09-16 09:30:00,2024-12-09 09:30:00,1.3078479802810925,4.808989868164062,3,30.64,2024-12-09 09:30:00,0.42721575754644836,0.42721575754644836,1050.342566364891,EXPIRY,risk_current_mature_tp800,META,392.3543940843278
MSFU,2024-09-16 09:30:00,2024-12-09 09:30:00,1.4004489241266729,0.0,3,43.2,2024-12-09 09:30:00,0.36395137239224656,0.36395137239224656,-420.1346772380018,EXPIRY,risk_current_mature_tp800,MSFT,420.1346772380018
AAPU,2024-09-23 09:30:00,2024-12-16 09:30:00,1.515989861329066,2.879683532714843,3,31.71,2024-12-16 09:30:00,0.4580579690384939,0.4580579690384939,409.108101415733,EXPIRY,risk_current_mature_tp800,AAPL,454.7969583987199
AMZU,2024-09-23 09:30:00,2024-12-16 09:30:00,2.505082195350237,9.001529541015628,1,35.41,2024-12-16 09:30:00,0.5934006008614912,0.5934006008614912,649.6447345665391,EXPIRY,risk_current_mature_tp800,AMZN,250.50821953502373
