symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
RXL,2025-05-27 09:30:00,2025-08-19 09:30:00,2.466303651509172,0.0,2,42.15,2025-08-19 09:30:00,0.5217390677676755,0.5217390677676755,-493.26073030183437,max_positions,risk_unseen_recent_tp500,healthcare,493.26073030183437
SSO,2025-05-27 09:30:00,2025-08-19 09:30:00,1.3904720782612774,2.662630004882814,3,48.83,2025-08-19 09:30:00,0.3389269434147737,0.3389269434147737,381.64737798646104,max_positions,risk_unseen_recent_tp500,broad_market,417.14162347838317
UCC,2025-05-27 09:30:00,2025-08-19 09:30:00,2.5595446212088806,0.29959228515625114,1,48.97,2025-08-19 09:30:00,0.48484541964487415,0.48484541964487415,-225.99523360526294,max_positions,risk_unseen_recent_tp500,consumer_discretionary,255.95446212088805
UYG,2025-05-27 09:30:00,2025-08-19 09:30:00,2.2179379344309957,0.0,2,89.16,2025-08-19 09:30:00,0.31568367914218143,0.31568367914218143,-443.5875868861991,max_positions,risk_unseen_recent_tp500,financials,443.5875868861991
DIG,2025-06-02 09:30:00,2025-08-25 09:30:00,1.1551968085744928,1.183926544189454,4,33.79,2025-08-25 09:30:00,0.3749047167697536,0.3749047167697536,11.491894245984469,symbol_cap,risk_unseen_recent_tp500,energy,462.07872342979715
QLD,2025-06-02 09:30:00,2025-08-25 09:30:00,2.1373876287502576,3.762085113525387,2,58.34,2025-08-25 09:30:00,0.3903001626120759,0.3903001626120759,324.9394969550259,symbol_cap,risk_unseen_recent_tp500,nasdaq_100,427.47752575005154
UYG,2025-06-02 09:30:00,2025-08-25 09:30:00,1.7745038719651873,0.0,2,89.17,2025-08-25 09:30:00,0.28250004807913753,0.28250004807913753,-354.90077439303747,max_positions,risk_unseen_recent_tp500,financials,354.90077439303747
DDM,2025-06-09 09:30:00,2025-08-29 09:30:00,1.2070378101104602,1.066763305664061,4,50.35,2025-09-01 09:30:00,0.3097125308751595,0.3097125308751595,-56.10980177855964,max_positions,risk_unseen_recent_tp500,dow_30,482.8151240441841
DIG,2025-06-09 09:30:00,2025-08-29 09:30:00,1.2447482570878972,1.9836285400390636,4,34.47,2025-09-01 09:30:00,0.3871344818844707,0.3871344818844707,295.55211318046656,max_positions,risk_unseen_recent_tp500,energy,497.8993028351589
MVV,2025-06-09 09:30:00,2025-08-29 09:30:00,2.547816203113417,0.8709243774414119,1,67.6,2025-09-01 09:30:00,0.3966792084490423,0.3966792084490423,-167.68918256720048,max_positions,risk_unseen_recent_tp500,midcap_400,254.78162031134167
QLD,2025-06-09 09:30:00,2025-08-29 09:30:00,2.1132429992464843,2.087215728759766,2,59.93,2025-09-01 09:30:00,0.38157642686381665,0.38157642686381665,-5.205454097343676,max_positions,risk_unseen_recent_tp500,nasdaq_100,422.64859984929683
