entry_date,spot,strike,entry_option_price,contracts,exit_date,pnl,reason,crash,symbol
2000-02-01 09:30:00,37.76863861083984,41.55,3.0023157517605537,1,2000-04-25 09:30:00,-223.53830735378946,EXPIRY,Dot-com crash,CSCO
2000-02-08 09:30:00,40.33332061767578,44.37,2.8042014468681913,1,2000-05-02 09:30:00,-280.4201446868191,EXPIRY,Dot-com crash,CSCO
2000-02-15 09:30:00,41.03458023071289,45.14,2.9857698724942363,1,2000-05-09 09:30:00,-298.5769872494236,EXPIRY,Dot-com crash,CSCO
2000-02-22 09:30:00,39.732208251953125,43.71,2.782707409560878,1,2000-05-16 09:30:00,-278.2707409560878,EXPIRY,Dot-com crash,CSCO
2000-02-29 09:30:00,42.377029418945305,46.61,3.6970910352561557,1,2000-05-23 09:30:00,-369.70910352561555,EXPIRY,Dot-com crash,CSCO
2000-03-07 09:30:00,42.33696365356445,46.57,3.1875939694280966,1,2000-05-30 09:30:00,-318.75939694280964,EXPIRY,Dot-com crash,CSCO
2000-03-14 09:30:00,42.23677062988281,46.46,3.128447837552523,1,2000-06-06 09:30:00,-312.8447837552523,EXPIRY,Dot-com crash,CSCO
2000-03-21 09:30:00,45.15708160400391,49.67,3.418979241409648,1,2000-06-13 09:30:00,-341.8979241409648,EXPIRY,Dot-com crash,CSCO
2000-03-28 09:30:00,49.93075942993164,54.92,2.821253430391021,1,2000-06-20 09:30:00,-282.1253430391021,EXPIRY,Dot-com crash,CSCO
2000-04-04 09:30:00,46.88522720336914,51.57,3.3027026405367295,1,2000-06-27 09:30:00,-330.2702640536729,EXPIRY,Dot-com crash,CSCO
2000-04-11 09:30:00,44.8815803527832,49.37,3.2079401797733667,1,2000-07-03 09:30:00,-320.7940179773367,EXPIRY,Dot-com crash,CSCO
2000-04-18 09:30:00,44.40070724487305,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-04-25 09:30:00,42.316932678222656,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-05-02 09:30:00,43.5992546081543,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-05-09 09:30:00,40.233131408691406,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-05-16 09:30:00,38.83058547973633,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-05-23 09:30:00,32.408912658691406,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-05-30 09:30:00,38.389774322509766,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-06-06 09:30:00,39.31146240234375,43.24,4.545995425507014,1,2000-08-29 09:30:00,-454.5995425507014,EXPIRY,Dot-com crash,CSCO
2000-06-13 09:30:00,41.67575454711914,45.84,4.702293945027494,1,2000-09-05 09:30:00,-470.22939450274936,EXPIRY,Dot-com crash,CSCO
2000-06-20 09:30:00,43.038230895996094,47.34,4.396171756224881,1,2000-09-12 09:30:00,-439.61717562248805,EXPIRY,Dot-com crash,CSCO
2000-06-27 09:30:00,39.912559509277344,43.9,2.5722263173116584,1,2000-09-19 09:30:00,-257.22263173116585,EXPIRY,Dot-com crash,CSCO
2000-07-05 09:30:00,39.672119140625,43.64,1.9247937216394853,2,2000-09-27 09:30:00,-384.9587443278971,EXPIRY,Dot-com crash,CSCO
2000-07-11 09:30:00,39.83241653442383,43.82,2.097980517554662,2,2000-10-03 09:30:00,-419.5961035109324,EXPIRY,Dot-com crash,CSCO
2000-07-18 09:30:00,43.11838150024414,47.43,2.4638245655401274,2,2000-10-10 09:30:00,-492.7649131080255,EXPIRY,Dot-com crash,CSCO
2000-07-25 09:30:00,43.67941665649414,48.05,2.507085936331883,1,2000-10-17 09:30:00,-250.70859363318831,EXPIRY,Dot-com crash,CSCO
2000-08-01 09:30:00,40.51364135742188,44.57,2.8592771831301764,1,2000-10-24 09:30:00,-285.92771831301764,EXPIRY,Dot-com crash,CSCO
2000-08-08 09:30:00,41.996341705322266,46.2,2.900696133344935,1,2000-10-31 09:30:00,-290.0696133344935,EXPIRY,Dot-com crash,CSCO
2000-08-15 09:30:00,40.51364135742188,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-08-22 09:30:00,41.5555419921875,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-08-29 09:30:00,42.67757415771485,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-09-05 09:30:00,42.316932678222656,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-09-12 09:30:00,37.74860763549805,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-09-19 09:30:00,39.75224685668945,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-09-26 09:30:00,35.38433074951172,38.92,2.0368470995281065,2,2000-12-19 09:30:00,-407.36941990562127,EXPIRY,Dot-com crash,CSCO
2000-10-03 09:30:00,36.0655517578125,39.67,2.5852693877593627,1,2000-12-26 09:30:00,-258.5269387759363,EXPIRY,Dot-com crash,CSCO
2000-10-10 09:30:00,32.77956771850586,36.06,2.4144705886928346,2,2001-01-02 09:30:00,-482.89411773856693,EXPIRY,Dot-com crash,CSCO
2000-10-17 09:30:00,34.98360061645508,38.48,3.4276423521343773,1,2001-01-09 09:30:00,-342.7642352134377,EXPIRY,Dot-com crash,CSCO
2000-10-24 09:30:00,35.18396759033203,38.7,4.1222166538696765,1,2001-01-16 09:30:00,-412.22166538696763,EXPIRY,Dot-com crash,CSCO
2000-10-31 09:30:00,34.54279327392578,38.0,5.116907821048557,0,,0.0,SKIP_PREMIUM,Dot-com crash,CSCO
2000-11-07 09:30:00,36.38614273071289,40.02,5.399256316593391,0,,0.0,SKIP_PREMIUM,Dot-com crash,CSCO
2000-11-14 09:30:00,34.06193542480469,37.47,4.935504995619782,1,2001-02-06 09:30:00,-493.5504995619782,EXPIRY,Dot-com crash,CSCO
2000-11-21 09:30:00,34.422569274902344,37.86,4.520190521868507,1,2001-02-13 09:30:00,-452.0190521868507,EXPIRY,Dot-com crash,CSCO
2000-11-28 09:30:00,32.69944763183594,35.97,3.828590129819572,1,2001-02-20 09:30:00,-382.8590129819572,EXPIRY,Dot-com crash,CSCO
2000-12-05 09:30:00,33.42076110839844,36.76,4.247699367950476,1,2001-02-27 09:30:00,-424.7699367950476,EXPIRY,Dot-com crash,CSCO
2000-12-12 09:30:00,34.86336135864258,38.35,4.086114913446874,1,2001-03-06 09:30:00,-408.6114913446874,EXPIRY,Dot-com crash,CSCO
2000-12-19 09:30:00,26.76866340637207,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2000-12-26 09:30:00,26.127496719360348,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-01-02 09:30:00,21.35882568359375,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-01-09 09:30:00,23.80327415466308,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-01-16 09:30:00,24.684871673583984,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-01-23 09:30:00,27.329683303833008,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-01-30 09:30:00,24.36429786682129,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-02-06 09:30:00,22.92165946960449,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-02-13 09:30:00,18.27322006225586,20.1,2.0659309459705124,2,2001-05-08 09:30:00,-413.1861891941025,EXPIRY,Dot-com crash,CSCO
2001-02-20 09:30:00,16.71038055419922,18.38,1.9717790471695151,2,2001-05-15 09:30:00,-394.355809433903,EXPIRY,Dot-com crash,CSCO
2001-02-27 09:30:00,15.38797378540039,16.93,1.9315743614630367,2,2001-05-22 09:30:00,-386.31487229260733,EXPIRY,Dot-com crash,CSCO
2001-03-06 09:30:00,15.38797378540039,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-03-13 09:30:00,13.704917907714844,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-03-20 09:30:00,12.222218513488768,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-03-27 09:30:00,11.62112522125244,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-04-03 09:30:00,8.816024780273438,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-04-10 09:30:00,10.168885231018066,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-04-17 09:30:00,10.681817054748535,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-04-24 09:30:00,10.42535400390625,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-05-01 09:30:00,11.412744522094728,12.55,1.8771826901156192,2,2001-07-24 09:30:00,-375.43653802312383,EXPIRY,Dot-com crash,CSCO
2001-05-08 09:30:00,13.066951751708984,14.37,2.045076402365263,2,2001-07-31 09:30:00,-409.01528047305254,EXPIRY,Dot-com crash,CSCO
2001-05-15 09:30:00,12.01544189453125,13.22,1.6998376131802155,2,2001-08-07 09:30:00,-339.9675226360431,EXPIRY,Dot-com crash,CSCO
2001-05-22 09:30:00,15.054567337036133,16.56,2.0128323771242362,2,2001-08-14 09:30:00,-402.5664754248472,EXPIRY,Dot-com crash,CSCO
2001-05-29 09:30:00,13.118247032165527,14.43,1.8359858277707515,2,2001-08-21 09:30:00,-367.1971655541503,EXPIRY,Dot-com crash,CSCO
2001-06-05 09:30:00,13.810705184936523,15.19,1.7855454175908303,2,2001-08-28 09:30:00,-357.1090835181661,EXPIRY,Dot-com crash,CSCO
2001-06-12 09:30:00,13.060544967651364,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-06-19 09:30:00,10.668994903564451,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-06-26 09:30:00,11.553803443908691,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-07-03 09:30:00,12.303963661193848,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-07-10 09:30:00,10.386882781982422,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-07-17 09:30:00,11.406332969665527,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-07-24 09:30:00,11.784622192382814,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-07-31 09:30:00,12.323202133178713,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-08-07 09:30:00,12.348849296569824,13.58,0.749836782327864,6,2001-10-30 09:30:00,-449.9020693967184,EXPIRY,Dot-com crash,CSCO
2001-08-14 09:30:00,11.316571235656738,12.45,0.5730612904872836,8,2001-11-06 09:30:00,-458.44903238982687,EXPIRY,Dot-com crash,CSCO
2001-08-21 09:30:00,10.265061378479004,11.29,0.6234056242126971,8,2001-11-13 09:30:00,512.4929688915618,EXPIRY,Dot-com crash,CSCO
2001-08-28 09:30:00,10.957518577575684,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-09-04 09:30:00,10.111181259155272,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-09-17 09:30:00,8.976318359375,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-09-18 09:30:00,8.700616836547852,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-09-25 09:30:00,8.078685760498047,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-10-02 09:30:00,7.360579967498779,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-10-09 09:30:00,9.354605674743652,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-10-16 09:30:00,10.880579948425291,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-10-23 09:30:00,10.521528244018556,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2001-10-30 09:30:00,10.62411403656006,11.69,1.6365635080776708,3,2002-01-22 09:30:00,-490.9690524233012,EXPIRY,Dot-com crash,CSCO
2001-11-06 09:30:00,11.84232711791992,13.03,1.116274482459234,4,2002-01-29 09:30:00,-446.5097929836936,EXPIRY,Dot-com crash,CSCO
2001-11-13 09:30:00,12.554021835327148,13.81,0.9085576152590464,5,2002-02-05 09:30:00,-454.2788076295232,EXPIRY,Dot-com crash,CSCO
2001-11-20 09:30:00,12.688669204711914,13.96,0.6247116110028132,8,2002-02-12 09:30:00,-499.76928880225057,EXPIRY,Dot-com crash,CSCO
2001-11-27 09:30:00,12.630966186523438,13.89,0.4602285243899038,10,2002-02-19 09:30:00,-460.22852438990384,EXPIRY,Dot-com crash,CSCO
2001-12-04 09:30:00,13.156715393066406,14.47,0.6226321928786707,8,2002-02-26 09:30:00,-498.10575430293653,EXPIRY,Dot-com crash,CSCO
2001-12-11 09:30:00,13.323419570922852,14.66,0.7281297267297901,6,2002-03-05 09:30:00,-436.8778360378741,EXPIRY,Dot-com crash,CSCO
2001-12-18 09:30:00,12.579663276672363,13.84,0.8306340359897488,6,2002-03-12 09:30:00,-498.3804215938493,EXPIRY,Dot-com crash,CSCO
2001-12-26 09:30:00,11.694856643676758,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-01-02 09:30:00,12.329618453979492,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-01-08 09:30:00,13.432416915893556,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-01-15 09:30:00,12.618138313293455,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-01-22 09:30:00,11.579447746276855,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-01-29 09:30:00,12.188560485839844,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-02-05 09:30:00,11.861560821533203,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-02-12 09:30:00,11.066518783569336,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-02-19 09:30:00,10.777994155883787,11.86,0.7216998945023927,6,2002-05-14 09:30:00,-433.01993670143565,EXPIRY,Dot-com crash,CSCO
2002-02-26 09:30:00,9.938061714172363,10.93,0.7265163942495998,6,2002-05-21 09:30:00,-435.9098365497599,EXPIRY,Dot-com crash,CSCO
2002-03-05 09:30:00,10.585643768310549,11.64,1.102521341370906,4,2002-05-28 09:30:00,-441.00853654836243,EXPIRY,Dot-com crash,CSCO
2002-03-12 09:30:00,10.752345085144045,11.83,1.0079121024970794,4,2002-06-04 09:30:00,-403.1648409988318,EXPIRY,Dot-com crash,CSCO
2002-03-19 09:30:00,10.733111381530762,11.81,1.005076283156138,4,2002-06-11 09:30:00,-402.0305132624552,EXPIRY,Dot-com crash,CSCO
2002-03-26 09:30:00,10.444589614868164,11.49,0.8452893212583152,5,2002-06-18 09:30:00,-422.64466062915756,EXPIRY,Dot-com crash,CSCO
2002-04-02 09:30:00,10.527942657470703,11.58,0.5523285053944726,9,2002-06-25 09:30:00,-497.0956548550254,EXPIRY,Dot-com crash,CSCO
2002-04-09 09:30:00,9.502073287963867,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-04-16 09:30:00,9.989357948303224,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-04-23 09:30:00,8.982730865478516,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-04-30 09:30:00,9.39307689666748,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-05-07 09:30:00,8.386445999145508,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-05-14 09:30:00,10.547174453735352,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-05-21 09:30:00,10.361233711242676,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-05-28 09:30:00,10.502291679382324,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-06-04 09:30:00,10.309941291809082,11.34,1.5461188575448674,3,2002-08-27 09:30:00,-463.83565726346023,EXPIRY,Dot-com crash,CSCO
2002-06-11 09:30:00,9.61107349395752,10.57,0.4925050085137448,10,2002-09-03 09:30:00,-492.5050085137448,EXPIRY,Dot-com crash,CSCO
2002-06-18 09:30:00,9.43154525756836,10.37,0.5043612337468764,9,2002-09-10 09:30:00,-453.9251103721888,EXPIRY,Dot-com crash,CSCO
2002-06-25 09:30:00,8.623673439025879,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-07-02 09:30:00,8.0530424118042,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-07-09 09:30:00,8.424915313720703,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-07-16 09:30:00,9.149434089660645,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-07-23 09:30:00,8.014570236206055,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-07-30 09:30:00,8.553144454956055,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-08-06 09:30:00,7.738868236541749,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-08-13 09:30:00,8.572383880615234,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-08-20 09:30:00,9.444368362426758,10.39,1.2022731830011044,4,2002-11-12 09:30:00,-480.90927320044176,EXPIRY,Dot-com crash,CSCO
2002-08-27 09:30:00,8.98913860321045,9.89,0.7424201399819594,6,2002-11-19 09:30:00,-445.45208398917566,EXPIRY,Dot-com crash,CSCO
2002-09-03 09:30:00,8.380034446716309,9.22,0.6060172193082836,8,2002-11-26 09:30:00,-448.94014873764297,EXPIRY,Dot-com crash,CSCO
2002-09-10 09:30:00,8.610852241516113,9.47,0.5040555590732843,9,2002-12-03 09:30:00,-453.65000316595587,EXPIRY,Dot-com crash,CSCO
2002-09-17 09:30:00,8.040218353271484,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-09-24 09:30:00,7.328520774841309,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-10-01 09:30:00,7.014352321624756,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2002-10-08 09:30:00,5.514024257659912,,,0,,0.0,PAUSED,Dot-com crash,CSCO
2007-07-09 09:30:00,3.9014830589294434,4.29,0.13947223543498533,35,2007-10-01 09:30:00,877.2120708444945,EXPIRY,Housing/GFC crash,AAPL
2007-07-10 09:30:00,3.961954355239868,4.36,0.12337949134144499,40,2007-10-02 09:30:00,1039.5579013334375,EXPIRY,Housing/GFC crash,AAPL
2007-07-17 09:30:00,4.158329486846924,4.57,0.10952307080893453,45,2007-10-09 09:30:00,1554.459928765799,EXPIRY,Housing/GFC crash,AAPL
2007-07-24 09:30:00,4.037989616394043,4.44,0.15768039747456308,31,2007-10-16 09:30:00,1484.1853681248738,EXPIRY,Housing/GFC crash,AAPL
2007-07-31 09:30:00,3.94429349899292,4.34,0.24402800481181397,20,2007-10-23 09:30:00,1977.5061623124075,EXPIRY,Housing/GFC crash,AAPL
2007-08-07 09:30:00,4.042181491851807,,,0,,0.0,PAUSED,Housing/GFC crash,AAPL
2007-08-14 09:30:00,3.712891101837158,,,0,,0.0,PAUSED,Housing/GFC crash,AAPL
2007-08-21 09:30:00,3.8188633918762207,,,0,,0.0,PAUSED,Housing/GFC crash,AAPL
