fold,train_start,train_end_purged,test_start,test_end,embargo_days,strike_otm_pct,dte_days,tp_pct,train_profit,train_profit_on_premium_pct,test_profit,test_premium,test_profit_on_premium_pct,test_trades,test_win_rate_pct
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,56,700.0,-82079.61526073431,-12.705943312742896,33482.23898129361,229406.37566258357,14.595164970715588,470,24.04255319148936
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,84,300.0,154497.70950083697,20.683619814224016,23536.13029707987,248144.35331055959,9.484854272554712,517,32.495164410058024
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,84,500.0,186412.189643451,24.956220204036622,43245.0446006128,248144.35331055959,17.4273740359872,517,30.56092843326886
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,84,700.0,203587.78005695017,27.255628935372687,38023.68438676637,248144.35331055959,15.323211622381214,517,30.174081237911025
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,112,300.0,244373.14006575104,30.554515292312683,78997.61816508922,264664.6983835211,29.84818853726201,559,39.53488372093023
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,112,500.0,321987.66926657653,40.258831890831665,94262.40881247762,264664.6983835211,35.61578457127047,559,37.567084078711986
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,112,700.0,332512.0129510427,41.57471390618758,107240.3371184864,264664.6983835211,40.51932039802537,559,37.38819320214669
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,56,300.0,-85692.1601757295,-13.639217163128434,-46859.977379042335,210856.3816131786,-22.223646740276592,430,20.930232558139537
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,56,500.0,-91532.90375104784,-14.615125801856275,-40017.311804003315,210856.3816131786,-18.978468423790034,430,17.674418604651162
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,56,700.0,-117566.00476212738,-18.77185011297597,-24877.41268778665,210856.3816131786,-11.798273544039516,430,16.74418604651163
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,84,300.0,70873.84536595951,9.803965554147213,-22322.732388062563,234923.2440223759,-9.502138658504295,484,25.826446280991732
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,84,500.0,77046.60262361464,10.657841891965191,-4040.2577778381637,234923.2440223759,-1.7198203586245975,484,23.34710743801653
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,84,700.0,93875.69492491332,12.985807030269106,-4477.28339208474,234923.2440223759,-1.9058494661593761,484,22.31404958677686
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,112,300.0,208815.17616232944,26.633523111765,47945.490973720225,261105.21680791694,18.362517440236175,546,34.798534798534796
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,112,500.0,284738.5706603616,36.31724207917875,66985.3952543771,261105.21680791694,25.654560285425156,546,32.78388278388278
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,112,700.0,304884.412034698,38.88676188952161,97914.20593569771,261105.21680791694,37.49990411249756,546,32.78388278388278
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,56,300.0,-58369.59153277153,-6.512215489663024,4439.652389372039,218782.30147113564,2.029255730248258,460,30.434782608695656
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,56,500.0,-46004.89620933858,-5.132703344798771,-2414.1861154976395,218782.30147113564,-1.103464996603552,460,27.82608695652174
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,56,700.0,-45113.979209075784,-5.033304953671466,3782.8066363565904,218782.30147113564,1.729027718842085,460,27.173913043478258
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,84,300.0,180583.47455368144,17.11956406132231,-32662.696860392054,211770.24537863734,-15.423647832108031,456,26.75438596491228
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,84,500.0,217974.75792375256,20.664309628828274,-54417.15642449794,211770.24537863734,-25.696318350673902,456,22.149122807017545
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,84,700.0,223538.86806345318,21.191794993789184,-63707.843826187665,211770.24537863734,-30.083472639076565,456,21.052631578947366
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,112,300.0,324253.07730383845,28.74714497959409,-46923.222552460735,209920.0940659511,-22.35289706840487,462,27.056277056277057
